Rk.,Player,Year,Pitches,Total,Pitch %,PA,Glove/Arm-Side Movement (in),Vertical Movement w/o Gravity (in),wOBA,xwOBA,BABIP,Whiff%,Pitch (MPH),Perceived Velocity,Spin (RPM),Vertical Release Pt (ft),Horizontal Release Pt (ft),Extension (ft),xWOBA/Average xWOBA of Year
40,"Kaprielian, James RHP",2021,1069,2024,52.8,276,8.5 ARM,15.3,0.35,0.331,0.304,27.8,93,92.5,2035,6.01,-2.5,6,0.9746609841
7,"Cole, Gerrit RHP",2021,1399,2969,47.1,312,12.0 ARM,18,0.283,0.295,0.297,27.6,97.7,97.9,2452,5.68,-1.92,6.6,0.8686555599
2,"Mahle, Tyler RHP",2021,1695,3196,53,389,12.1 ARM,17.1,0.335,0.306,0.344,27,94,94.5,2336,5.6,-1.77,6.6,0.9010461062
18,"Rogers, Trevor LHP",2021,1251,2169,57.7,325,11.1 ARM,14.8,0.3,0.305,0.326,26.8,94.5,94.8,2375,5.87,2.2,6.6,0.8981015111
41,"Javier, Cristian RHP",2021,1065,1792,59.4,271,7.9 ARM,18,0.345,0.4,0.264,26.4,93.5,92.8,2341,5.6,-1.52,6,1.177838047
9,"Wheeler, Zack RHP",2021,1359,3205,42.4,339,7.7 ARM,15.9,0.275,0.271,0.337,25.9,97.2,98.3,2388,5.68,-1.55,7.2,0.797985277
15,"Giolito, Lucas RHP",2021,1303,2970,43.9,270,6.7 ARM,19.1,0.33,0.341,0.29,25.6,93.8,94.7,2345,6.4,-1.5,6.8,1.004106935
70,"Rasmussen, Drew RHP",2021,781,1202,65,200,4.4 ARM,17.5,0.278,0.318,0.271,25,97.1,97.5,2437,6.12,-0.95,6.5,0.9363812476
64,"Ober, Bailey RHP",2021,856,1476,58,208,6.4 ARM,15.8,0.322,0.322,0.31,24.8,92.3,94.3,2177,5.8,-1.87,7.3,0.9481596281
57,"Walker, Taijuan RHP",2021,903,2547,35.5,234,9.4 ARM,17.3,0.317,0.326,0.25,24.3,94.5,94,2094,6.38,-1.81,6.1,0.9599380085
59,"Montas, Frankie RHP",2021,892,3028,29.5,234,7.1 ARM,17.4,0.292,0.332,0.252,24.3,96.4,95.9,2396,6.26,-1.16,6,0.9776055793
72,"Hoffman, Jeff RHP",2021,762,1360,56,208,10.4 ARM,18.3,0.394,0.375,0.306,24.1,94.3,94.5,2467,6.26,-1.55,6.5,1.104223169
1,"Ray, Robbie LHP",2021,1861,3141,59.2,471,8.2 ARM,17.1,0.307,0.327,0.252,24,94.8,94.9,2272,6.05,2.51,6.5,0.9628826037
37,"Skubal, Tarik LHP",2021,1090,2547,42.8,283,8.3 ARM,16.1,0.413,0.428,0.318,24,94.3,94,2192,6.34,3.02,6.2,1.260286711
39,"Morton, Charlie RHP",2021,1078,2987,36.1,248,13.0 ARM,12.5,0.292,0.309,0.301,23.5,95.5,95.5,2340,5.56,-1.99,6.3,0.9098798915
46,"Odorizzi, Jake RHP",2021,1020,1847,55.2,221,11.3 ARM,16.6,0.313,0.315,0.289,23.2,92.2,91.8,2113,5.88,-1.23,6.1,0.9275474622
65,"Patiño, Luis RHP",2021,827,1365,60.6,204,4.2 ARM,18.6,0.286,0.337,0.245,23.1,95.7,96.3,2415,5.96,-1.92,6.7,0.9923285548
8,"Cease, Dylan RHP",2021,1383,2957,46.8,352,4.5 ARM,18.8,0.355,0.384,0.297,23,96.7,96.2,2543,6.42,-1.55,6,1.130724525
36,"Nola, Aaron RHP",2021,1115,2971,37.5,225,13.3 ARM,14.2,0.344,0.359,0.307,22.4,92.9,93.8,2198,5.08,-1.8,6.9,1.057109647
63,"Stripling, Ross RHP",2021,859,1686,50.9,209,4.4 ARM,18.3,0.376,0.383,0.26,22.3,91.9,91.5,2178,6.93,-1.17,6,1.12777993
25,"Hill, Rich LHP",2021,1176,2496,47.1,278,9.2 ARM,19.3,0.354,0.34,0.317,22,88.1,88,2339,5.98,1.48,6.3,1.00116234
49,"Smith, Caleb LHP",2021,995,2067,48.1,226,11.5 ARM,18,0.359,0.361,0.262,21.7,91.4,90.2,2420,6.25,1.45,5.7,1.062998838
50,"Anderson, Tyler LHP",2021,970,2602,37.3,242,9.1 ARM,18.2,0.329,0.351,0.287,21.7,90.6,89.9,2291,6.06,2.13,6,1.033552887
14,"Gilbert, Logan RHP",2021,1307,2125,61.5,324,5.4 ARM,18,0.304,0.322,0.309,21.6,95.3,97.4,2200,6.01,-2.04,7.5,0.9481596281
21,"Snell, Blake LHP",2021,1232,2347,52.5,289,5.7 ARM,18.8,0.321,0.369,0.259,21.4,95.1,95.8,2399,6.6,1.94,6.8,1.086555599
34,"Means, John LHP",2021,1122,2328,48.2,239,6.7 ARM,20.1,0.331,0.37,0.224,21.2,92.8,92.3,2399,6.56,0.31,6.2,1.089500194
10,"Urías, Julio LHP",2021,1347,2786,48.3,350,3.8 ARM,17.3,0.346,0.331,0.327,21.1,94.1,93.1,2499,6.12,1.58,5.6,0.9746609841
29,"Paddack, Chris RHP",2021,1149,1869,61.5,246,9.5 ARM,17.5,0.373,0.364,0.357,21.1,94.8,95.4,2210,6.38,-2.39,6.8,1.071832623
45,"Anderson, Ian RHP",2021,1025,2175,47.1,246,5.4 ARM,17.4,0.284,0.318,0.256,21.1,94.6,95.8,2045,6.21,-1.48,7,0.9363812476
5,"Pivetta, Nick RHP",2021,1423,2745,51.8,336,5.1 ARM,19.7,0.34,0.323,0.317,20.9,94.8,95.3,2294,6.6,-1.65,6.6,0.9511042232
30,"Bubic, Kris LHP",2021,1144,2202,52,262,6.2 ARM,15.4,0.311,0.346,0.256,20.8,90.9,91,2073,5.72,1.41,6.6,1.018829911
4,"Happ, J.A. LHP",2021,1442,2674,53.9,336,7.9 ARM,17,0.377,0.365,0.294,20.3,91,90.7,2298,6.22,1.83,6.1,1.074777218
60,"Suter, Brent LHP",2021,883,1221,72.3,239,3.6 GLV,11.8,0.304,0.297,0.317,20.3,87.3,88.8,2163,6.18,2.78,7.2,0.8745447501
67,"Widener, Taylor RHP",2021,809,1217,66.5,202,5.8 ARM,15.3,0.372,0.394,0.28,20.2,92.6,93,2144,5.37,-2.49,6.6,1.160170477
6,"Buehler, Walker RHP",2021,1401,3152,44.4,335,3.1 ARM,18,0.293,0.331,0.241,20.1,95.3,95.5,2472,5.78,-0.82,6.4,0.9746609841
27,"Lyles, Jordan RHP",2021,1168,2964,39.4,283,7.0 ARM,18.1,0.412,0.387,0.298,20,93,93.8,2278,6.13,-0.88,6.8,1.139558311
47,"Akin, Keegan LHP",2021,1011,1768,57.2,231,10.7 ARM,18.1,0.33,0.352,0.286,20,92,91.1,2337,5.91,2.4,5.9,1.036497482
58,"Urquidy, José RHP",2021,896,1631,54.9,227,7.8 ARM,19.4,0.294,0.334,0.249,19.8,92.5,91.9,2213,6.45,-1.31,6,0.9834947695
3,"Gausman, Kevin RHP",2021,1583,3002,52.7,421,10.4 ARM,16.4,0.316,0.352,0.292,19.5,94.6,94.8,2283,6.05,-2.5,6.5,1.036497482
19,"Eovaldi, Nathan RHP",2021,1237,2927,42.3,282,12.2 ARM,14.4,0.352,0.314,0.391,19.4,96.8,97.5,2113,5.59,-2.19,6.7,0.9246028671
68,"McClanahan, Shane LHP",2021,799,1954,40.9,204,10.5 ARM,16.3,0.378,0.41,0.333,19.3,96.4,96.8,2256,6.31,0.68,6.7,1.207283998
23,"McKenzie, Triston RHP",2021,1216,1975,61.6,322,3.4 ARM,19.8,0.348,0.364,0.237,19.2,92.1,93,2256,6.3,-1.77,6.8,1.071832623
75,"Williams, Trevor RHP",2021,743,1537,48.3,219,3.9 ARM,12.5,0.35,0.335,0.348,19.2,91.5,92.7,2221,5.19,-2.02,6.8,0.9864393646
35,"Garcia, Luis RHP",2021,1118,2502,44.7,299,5.0 ARM,18.5,0.379,0.388,0.337,19.1,93.3,93,2354,6.04,-1.56,6.2,1.142502906
33,"Minor, Mike LHP",2021,1123,2621,42.8,278,1.9 ARM,14.7,0.332,0.315,0.275,18.9,90.9,90.1,2544,5.99,0.81,5.6,0.9275474622
69,"McGee, Jake LHP",2021,791,878,90.1,215,11.5 ARM,15.4,0.244,0.279,0.216,18.9,94.9,94.6,2143,5.72,1.93,6.2,0.821542038
38,"Irvin, Cole LHP",2021,1087,2682,40.5,281,8.2 ARM,16.6,0.307,0.332,0.299,18.7,90.8,90.7,1956,6.31,1.58,6.2,0.9776055793
51,"Allard, Kolby LHP",2021,964,2054,46.9,264,7.9 ARM,17,0.312,0.334,0.247,18.7,91.5,91.4,2121,5.48,2.16,6.2,0.9834947695
53,"Ryu, Hyun Jin LHP",2021,948,2689,35.3,205,11.9 ARM,13,0.35,0.364,0.295,18.4,89.9,90.2,1944,5.86,2.16,6.5,1.071832623
32,"Flexen, Chris RHP",2021,1124,2811,40,257,2.1 ARM,18.4,0.342,0.333,0.331,18,92.8,92.2,2107,6.9,-0.75,6,0.9805501744
66,"Rodríguez, Richard RHP",2021,813,944,86.1,222,13.4 ARM,15.2,0.277,0.333,0.227,17.9,93.1,93.7,2438,5.85,-2.97,6.8,0.9805501744
20,"Richards, Garrett RHP",2021,1236,2331,53,355,1.3 GLV,8.7,0.378,0.394,0.333,17.8,94.3,94,2468,5.75,-2.42,6,1.160170477
43,"Keller, Mitch RHP",2021,1050,1858,56.5,252,6.6 ARM,15.7,0.387,0.369,0.373,17.8,93.8,93.6,2354,6.19,-1.7,6.1,1.086555599
28,"Gonzales, Marco LHP",2021,1168,2324,50.3,260,10.7 ARM,17.5,0.349,0.365,0.231,17.3,88.4,88.6,2143,5.8,2.17,6.4,1.074777218
24,"Gray, Jon RHP",2021,1208,2537,47.6,309,12.9 ARM,11,0.396,0.361,0.374,17.1,94.9,95.4,2152,5.5,-2.06,6.5,1.062998838
56,"Plesac, Zach RHP",2021,919,2205,41.7,214,8.7 ARM,17,0.426,0.428,0.333,17,92.8,92.8,2047,6.07,-0.74,6.2,1.260286711
61,"Weathers, Ryan LHP",2021,875,1617,54.1,216,12.2 ARM,14,0.413,0.384,0.345,16.7,93.9,92.9,2065,5.66,1.81,5.7,1.130724525
48,"Fried, Max LHP",2021,998,2558,39,294,1.4 ARM,12.7,0.315,0.32,0.286,16.4,94,94.4,2114,6.12,1.19,6.4,0.9422704378
31,"Gallen, Zac RHP",2021,1129,2102,53.7,272,3.4 ARM,17.4,0.295,0.315,0.272,15.3,93.4,93.9,2324,5.94,-3.01,6.7,0.9275474622
74,"Harvey, Matt RHP",2021,760,2232,34.1,202,12.3 ARM,14.5,0.395,0.417,0.353,15.3,93.4,92.7,2157,6.2,-2.17,6,1.227896164
55,"Pineda, Michael RHP",2021,925,1707,54.2,243,6.5 ARM,14.3,0.345,0.379,0.298,14.6,90.6,90.6,1946,6.44,-2.3,6.3,1.11600155
73,"González, Chi Chi RHP",2021,761,1635,46.5,200,2.8 ARM,11.5,0.398,0.392,0.352,14.6,91.9,91.8,2337,6,-1.79,5.9,1.154281286
62,"Gutierrez, Vladimir RHP",2021,865,1831,47.2,226,10.3 ARM,14.8,0.401,0.373,0.318,14.1,93.2,93.4,2167,5.38,-2.04,6.5,1.098333979
17,"Márquez, Germán RHP",2021,1269,2788,45.5,331,6.0 ARM,11.5,0.355,0.401,0.276,14,94.8,93.7,2078,6.11,-1.84,5.4,1.180782642
13,"Senzatela, Antonio RHP",2021,1311,2405,54.5,352,4.9 ARM,11,0.315,0.331,0.317,13.8,94.6,94.8,2096,5.93,-2.58,6.2,0.9746609841
44,"Greinke, Zack RHP",2021,1026,2577,39.8,255,1.3 ARM,16.5,0.338,0.355,0.273,11.9,88.9,88.6,2234,6.41,-1.22,6,1.045331267
52,"Espino, Paolo RHP",2021,958,1735,55.2,243,3.5 ARM,19.2,0.358,0.363,0.294,11.8,89,89.4,2216,5.72,-1.17,6.6,1.068888028
71,"Corbin, Patrick LHP",2021,777,2750,28.3,205,8.1 ARM,15,0.399,0.407,0.342,11.8,92.3,93,2148,6.44,2.14,6,1.198450213
3,"Cole, Gerrit RHP",2019,1733,3362,51.5,401,11.4 ARM,18.4,0.254,0.245,0.256,37.5,97.1,96.8,2530,5.85,-2.02,6.3,0.7194294903
4,"Verlander, Justin RHP",2019,1617,3448,46.9,328,10.1 ARM,20.6,0.342,0.334,0.259,31,94.6,93.6,2577,7,-1.64,6,0.9807732644
1,"Lynn, Lance RHP",2019,1858,3553,52.3,458,6.2 ARM,14.6,0.294,0.293,0.287,30.5,94.6,94.8,2482,5.64,-3.24,6.3,0.8603789415
5,"Odorizzi, Jake RHP",2019,1614,2787,57.9,372,10.6 ARM,16.7,0.287,0.295,0.292,30.5,92.9,92.3,2236,6.01,-1.15,5.9,0.8662518353
81,"Estévez, Carlos RHP",2019,837,1240,67.5,209,6.0 ARM,14.8,0.357,0.341,0.314,30.4,97.8,98,2248,5.82,-2.3,6.1,1.001328393
49,"Clevinger, Mike RHP",2019,1067,2090,51.1,255,5.3 ARM,17.3,0.268,0.285,0.285,30,95.4,96.4,2341,5.63,-1.39,6.7,0.8368873663
33,"Peralta, Freddy RHP",2019,1243,1599,77.7,301,7.2 ARM,15.9,0.35,0.323,0.352,29.4,93.6,95,2454,5.19,-2.38,7,0.9484723485
22,"Rodriguez, Eduardo LHP",2019,1354,3495,38.7,270,8.9 ARM,14,0.351,0.337,0.358,29.2,93,92.5,2202,5.78,1.92,5.9,0.9895826051
51,"Pomeranz, Drew LHP",2019,1022,1956,52.2,251,6.1 ARM,19.5,0.325,0.316,0.28,29.1,92.8,90.8,2436,6.47,2.4,5.1,0.9279172202
75,"Hendriks, Liam RHP",2019,913,1354,67.4,204,5.9 ARM,18.6,0.28,0.27,0.318,29.1,96.5,96.8,2381,6.14,-1.62,6.5,0.7928406628
69,"Morton, Charlie RHP",2019,936,3139,29.8,224,13.6 ARM,12.7,0.296,0.289,0.336,28.9,94.7,94.1,2259,5.78,-1.88,6,0.8486331539
77,"Sale, Chris LHP",2019,883,2466,35.8,223,14.8 ARM,12.3,0.295,0.287,0.355,28.5,93.4,92.7,2383,5.44,3.13,6,0.8427602601
52,"Green, Chad RHP",2019,1019,1320,77.2,225,6.9 ARM,17.6,0.329,0.321,0.359,28.1,96.4,96.4,2465,6.05,-2.07,6.3,0.9425994547
24,"Scherzer, Max RHP",2019,1341,2770,48.4,306,12.2 ARM,14.2,0.29,0.288,0.304,27.4,94.9,94.2,2474,5.24,-3.49,6,0.845696707
74,"Snell, Blake LHP",2019,914,1891,48.3,216,6.3 ARM,18.9,0.305,0.265,0.378,27.1,95.5,96,2353,6.78,1.66,6.6,0.7781584283
66,"Wheeler, Zack RHP",2019,947,3159,30,200,10.5 ARM,15.5,0.279,0.289,0.333,27,96.8,97.9,2341,5.77,-1.5,6.8,0.8486331539
9,"deGrom, Jacob RHP",2019,1536,3297,46.6,287,5.7 ARM,16.3,0.292,0.295,0.275,26.9,96.9,98.1,2388,5.62,-1.23,6.8,0.8662518353
55,"Richards, Trevor RHP",2019,999,2290,43.6,212,7.9 ARM,18,0.341,0.358,0.333,26.6,90.8,91,2139,6.11,-1.4,6.4,1.05124799
7,"Giolito, Lucas RHP",2019,1548,2814,55,374,7.6 ARM,18.2,0.278,0.289,0.269,26,94.2,94.9,2333,6.56,-1.26,6.7,0.8486331539
28,"Happ, J.A. LHP",2019,1304,2696,48.4,310,8.1 ARM,17.4,0.367,0.36,0.24,25,92,91.5,2319,6.16,1.85,6,1.057120884
14,"Smith, Caleb LHP",2019,1431,2661,53.8,314,14.7 ARM,17,0.329,0.351,0.218,24.7,91.6,89.4,2425,6.29,1.72,5.1,1.030692862
26,"Velasquez, Vince RHP",2019,1324,2120,62.5,332,4.1 ARM,17,0.322,0.338,0.25,24.6,94.2,94.6,2398,5.69,-2.28,6.5,0.992519052
10,"Buehler, Walker RHP",2019,1505,2838,53,334,4.8 ARM,17.6,0.262,0.281,0.256,24.5,96.5,96.8,2456,5.9,-0.97,6.3,0.8251415787
6,"Paxton, James LHP",2019,1596,2665,59.9,347,11.4 ARM,15.4,0.352,0.334,0.307,24.4,95.4,95.5,2263,6.1,2.38,6.3,0.9807732644
76,"Syndergaard, Noah RHP",2019,906,3095,29.3,209,6.1 ARM,14.6,0.33,0.298,0.317,24.3,97.8,98.2,2197,6.4,-1.14,6.5,0.875061176
8,"Boyd, Matthew LHP",2019,1544,3118,49.5,398,10.2 ARM,15,0.354,0.319,0.309,24,92.1,92.2,2384,5.59,2.33,6.2,0.9367265609
54,"Berríos, José RHP",2019,1009,3132,32.2,255,9.9 ARM,14.4,0.31,0.301,0.329,23.9,93.1,93.5,2190,5.51,-3.43,6.5,0.8838705167
60,"Strasburg, Stephen RHP",2019,969,3384,28.6,244,9.6 ARM,14.8,0.323,0.303,0.292,23.9,93.9,94.9,2167,5.84,-2.4,6.8,0.8897434105
11,"Minor, Mike LHP",2019,1497,3358,44.6,340,4.1 ARM,15.4,0.318,0.319,0.279,23.3,92.5,92,2650,5.93,1.18,5.9,0.9367265609
17,"Paddack, Chris RHP",2019,1392,2280,61.1,312,7.6 ARM,18,0.275,0.28,0.243,23.2,93.9,94.6,2230,6.3,-2.48,6.7,0.8222051318
37,"Williams, Trevor RHP",2019,1208,2327,51.9,323,6.4 ARM,13.8,0.349,0.338,0.309,23.1,91.7,92.5,2203,5.53,-1.94,6.6,0.992519052
39,"Turnbull, Spencer RHP",2019,1190,2661,44.7,284,2.2 ARM,11.4,0.318,0.343,0.304,23.1,93.6,93.5,2396,5.72,-1.75,6.1,1.007201286
56,"Anderson, Chase RHP",2019,998,2392,41.7,261,8.7 ARM,16.9,0.358,0.348,0.309,22.7,93.3,92.5,2166,6.04,-1.74,5.7,1.021883521
65,"Doolittle, Sean LHP",2019,947,1075,88.1,232,3.8 ARM,19.6,0.324,0.318,0.311,22.5,93.5,93.2,2215,5.96,2.16,6.1,0.933790114
27,"Ray, Robbie LHP",2019,1307,3064,42.7,303,7.1 ARM,18.2,0.308,0.319,0.294,22,92.4,92.3,2257,6.34,2.01,6.2,0.9367265609
12,"Flaherty, Jack RHP",2019,1476,3179,46.4,399,4.8 ARM,14.4,0.261,0.309,0.232,21.9,94.3,95.4,2222,5.35,-2.53,6.7,0.9073620919
16,"Bauer, Trevor RHP",2019,1417,3687,38.4,349,9.7 ARM,17,0.399,0.399,0.276,21.8,94.5,94.6,2412,5.55,-1.41,6.2,1.171642313
38,"Lyles, Jordan RHP",2019,1194,2456,48.6,269,6.9 ARM,16.4,0.33,0.337,0.249,21.8,92.6,93.6,2162,6.17,-1.66,6.7,0.9895826051
18,"Bumgarner, Madison LHP",2019,1387,3244,42.8,330,9.1 ARM,15.6,0.321,0.325,0.275,21.7,91.4,91.7,2405,5.81,2.93,6.4,0.9543452423
78,"Eflin, Zach RHP",2019,865,2571,33.6,233,9.3 ARM,13.2,0.322,0.323,0.277,21.7,93.8,94.2,2186,5.76,-2.73,6.5,0.9484723485
68,"Gausman, Kevin RHP",2019,937,1671,56.1,258,10.9 ARM,15.6,0.39,0.392,0.373,21.6,93.9,93.7,2249,5.99,-2.6,6.1,1.151087185
58,"Quintana, Jose LHP",2019,992,2826,35.1,240,4.4 ARM,15.7,0.324,0.331,0.365,21.5,91.4,91.9,2016,5.95,2.49,6.5,0.9719639237
62,"DeSclafani, Anthony RHP",2019,963,2668,36.1,221,9.6 ARM,16.1,0.325,0.328,0.279,21.4,94.7,95,2249,5.79,-1.45,6.4,0.963154583
67,"Rodríguez, Richard RHP",2019,942,1162,81.1,232,13.7 ARM,15.1,0.322,0.328,0.284,21.4,93.2,93.3,2506,5.96,-3.22,6.4,0.963154583
34,"Mahle, Tyler RHP",2019,1221,2211,55.2,283,11.7 ARM,14,0.32,0.315,0.318,21.3,93.3,93.7,2161,5.57,-3.02,6.5,0.9249807733
25,"Lauer, Eric LHP",2019,1332,2510,53.1,325,9.2 ARM,17,0.308,0.303,0.314,21,91.8,91.1,2216,6.22,2.23,5.9,0.8897434105
47,"Kelly, Merrill RHP",2019,1106,2962,37.3,264,4.7 ARM,15.3,0.315,0.353,0.282,20.2,92,91.9,2411,5.69,-1.81,6.2,1.036565755
15,"Fried, Max LHP",2019,1418,2670,53.1,371,3.3 ARM,12.1,0.361,0.357,0.351,20.1,93.8,94.2,2077,6.06,1.38,6.2,1.048311543
40,"Pineda, Michael RHP",2019,1182,2278,51.9,288,6.1 ARM,13.6,0.327,0.345,0.307,19.8,92.5,92.5,1999,6.55,-2.26,6.2,1.01307418
2,"López, Reynaldo RHP",2019,1850,3163,58.5,490,10.0 ARM,15.1,0.356,0.36,0.343,19.5,95.4,95.2,2137,6.12,-1.81,6.1,1.057120884
31,"Teheran, Julio RHP",2019,1265,3036,41.7,283,6.4 ARM,12.4,0.345,0.355,0.252,19.5,89.7,89.7,2400,4.91,-2.6,6.1,1.042438649
64,"Duffy, Danny LHP",2019,956,2161,44.2,261,7.2 ARM,17.1,0.342,0.372,0.306,19.5,92.3,93.1,2242,5.86,1.55,6.6,1.092358247
84,"Newcomb, Sean LHP",2019,770,1181,65.2,200,5.5 ARM,16.8,0.341,0.322,0.311,19.5,94.3,93.2,2240,6.5,1.78,5.6,0.9455359016
41,"Nola, Aaron RHP",2019,1180,3332,35.4,252,12.9 ARM,13,0.375,0.368,0.315,19.1,93.1,93.8,2171,4.92,-1.86,6.7,1.080612459
53,"Brault, Steven LHP",2019,1013,2001,50.6,254,9.3 ARM,12.2,0.375,0.366,0.333,19,92.1,93.2,2068,5.38,2.87,6.8,1.074739565
80,"Sanchez, Aaron RHP",2019,838,2305,36.4,219,13.7 ARM,13.9,0.431,0.413,0.357,18.9,93.4,93.7,2253,5.78,-1.96,6.4,1.212752569
71,"Porcello, Rick RHP",2019,931,2960,31.5,238,9.0 ARM,15.4,0.33,0.347,0.313,18.8,91,90.8,2434,6.19,-1.63,6.1,1.018947074
83,"Beeks, Jalen LHP",2019,801,1821,44,200,5.2 ARM,16.8,0.398,0.403,0.366,18.5,92,91.9,2005,6.15,0.51,6.2,1.1833881
42,"Bundy, Dylan RHP",2019,1178,2778,42.4,275,5.2 ARM,19,0.427,0.377,0.352,18.2,91.1,90.3,2458,6.24,-2.45,5.8,1.107040481
45,"Keller, Brad RHP",2019,1131,2711,41.7,291,0.0 GLV,14.2,0.344,0.381,0.309,18.2,93.7,93.5,2295,6.21,-1.57,6,1.118786269
21,"Means, John LHP",2019,1362,2681,50.8,254,5.9 ARM,19.8,0.325,0.334,0.316,18,91.7,91,2376,6.69,0.61,5.9,0.9807732644
30,"Greinke, Zack RHP",2019,1272,3113,40.9,257,2.0 ARM,16.5,0.291,0.302,0.278,18,89.9,89.5,2326,6.36,-1.26,5.9,0.8868069636
43,"Cashner, Andrew RHP",2019,1138,2511,45.3,251,7.9 ARM,17.1,0.367,0.376,0.36,18,93.9,92.3,2204,6.57,-0.84,5.3,1.104104034
36,"Thornton, Trent RHP",2019,1212,2759,43.9,290,3.7 ARM,16.3,0.377,0.379,0.29,17.9,92.9,92.4,2372,5.48,-1.01,5.9,1.112913375
46,"Kershaw, Clayton LHP",2019,1130,2672,42.3,247,1.2 GLV,19.1,0.314,0.321,0.225,17.5,90.3,90.2,2477,6.32,1.44,6.2,0.9425994547
72,"Fiers, Mike RHP",2019,929,2899,32,222,8.9 ARM,18.8,0.316,0.359,0.247,17,90.4,89.7,2322,6.28,-1.07,5.9,1.054184437
59,"Junis, Jakob RHP",2019,984,2926,33.6,246,6.0 ARM,14,0.431,0.441,0.335,16.3,91.7,91.3,2079,5.82,-2.13,5.9,1.294973083
61,"Plutko, Adam RHP",2019,967,1794,53.9,235,4.2 ARM,18.5,0.356,0.357,0.305,16.3,91.1,90.7,2265,6.12,-1.67,6,1.048311543
44,"Beede, Tyler RHP",2019,1137,2028,56.1,311,10.5 ARM,14.1,0.357,0.384,0.292,16.1,94.2,94.1,2320,5.82,-2.56,6.1,1.127595609
70,"Alcantara, Sandy RHP",2019,933,3091,30.2,266,9.3 ARM,15,0.311,0.338,0.264,16,95.6,94.5,2356,5.98,-2.42,5.7,0.992519052
29,"Kikuchi, Yusei LHP",2019,1286,2721,47.3,321,5.7 ARM,15.7,0.41,0.376,0.323,15.9,92.5,93,2096,5.89,2.36,6.5,1.104104034
23,"Bailey, Homer RHP",2019,1349,2836,47.6,351,8.0 ARM,14.9,0.339,0.379,0.313,15.6,93,93.5,2092,6.36,-2.16,6.5,1.112913375
32,"Gonzales, Marco LHP",2019,1246,3232,38.6,290,11.3 ARM,16.2,0.329,0.354,0.295,15.5,88.9,88.8,2252,5.75,2.4,6.2,1.039502202
79,"Lester, Jon LHP",2019,862,3043,28.3,218,7.3 ARM,15.5,0.374,0.376,0.34,15.4,90.6,90.7,2251,5.64,2.75,6.3,1.104104034
73,"Márquez, Germán RHP",2019,927,2616,35.4,225,7.3 ARM,13.3,0.351,0.381,0.313,15.2,95.7,94.2,2225,6.17,-2.47,5.2,1.118786269
57,"Musgrove, Joe RHP",2019,997,2657,37.5,235,5.2 ARM,12.7,0.371,0.377,0.3,14.9,92.7,92,2419,6.65,-1.6,5.7,1.107040481
63,"Plesac, Zach RHP",2019,957,1892,50.6,235,9.3 ARM,16.6,0.345,0.394,0.28,14.8,93.9,93.3,2133,6.12,-1.1,5.9,1.156960078
20,"Sparkman, Glenn RHP",2019,1380,2275,60.7,360,10.2 ARM,14,0.365,0.372,0.312,14.7,93.4,93.9,2251,5.5,-1.81,6.5,1.092358247
35,"Gray, Jon RHP",2019,1216,2373,51.2,316,11.0 ARM,11.4,0.405,0.408,0.36,13.8,96,96.1,2066,5.91,-2.06,6.1,1.198070335
13,"Bieber, Shane RHP",2019,1474,3332,44.2,379,8.3 ARM,17.8,0.305,0.344,0.268,13.7,93.1,93.4,2254,5.75,-1.37,6.4,1.010137733
19,"Senzatela, Antonio RHP",2019,1385,2237,61.9,353,5.0 ARM,11,0.403,0.386,0.361,12.9,93.7,94.1,2102,6.13,-2.34,6.2,1.133468503
50,"Norris, Daniel LHP",2019,1061,2361,44.9,265,6.6 ARM,16.9,0.409,0.405,0.31,12.8,90.8,89.7,2385,6.03,1.76,5.5,1.189260994
48,"Wacha, Michael RHP",2019,1089,2199,49.5,294,6.8 ARM,17,0.4,0.396,0.328,11.9,93,93.9,2032,6.62,-0.96,6.6,1.162832972
82,"Lambert, Peter RHP",2019,833,1582,52.7,210,8.1 ARM,14.8,0.397,0.388,0.31,9.4,92.7,92.1,2256,6.37,-1.56,5.6,1.139341397