"last_name, first_name","player_id","year","woba","xwoba","n_ff_formatted","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z","ff_avg_break","n_sl_formatted","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z","sl_avg_break","n_ch_formatted","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z","ch_avg_break","n_cu_formatted","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z","cu_avg_break","n_si_formatted","si_avg_speed","si_avg_spin","si_avg_break_x","si_avg_break_z","si_avg_break","n_fc_formatted","fc_avg_speed","fc_avg_spin","fc_avg_break_x","fc_avg_break_z","fc_avg_break","n_fs_formatted","fs_avg_speed","fs_avg_spin","fs_avg_break_x","fs_avg_break_z","fs_avg_break","n_st_formatted","st_avg_speed","st_avg_spin","st_avg_break_x","st_avg_break_z","st_avg_break"
"Dunning, Dane","641540","2021",".336",".333","0.4","90","2011","-6.5","-26.6","9.5","22.1","79.7","2071","4.7","-48.5","7.7","13","84.5","1935","-17.4","-32.1","18.7","4.2","78.2","2074","7.8","-59.7","16.8","52.3","90.4","2034","-14.5","-27","16.1","8","85.8","2212","2.2","-30.7","7.1",,,,,,,,,,,,
"Keller, Brad","641745","2021",".358",".380","29.6","94.2","2322","1","-16.7","14.2","34.8","86.1","2582","6.1","-40.6","7.5","6.2","90","1998","-12.5","-24.3","15.8",,,,,,,"29.3","93.7","2181","-10.8","-21.5","14.5",,,,,,,,,,,,,,,,,,
"Mahle, Tyler","641816","2021",".308",".298","53","94","2336","-12.1","-13.8","21","26.3","86.7","2535","2.9","-29.4","7.9",,,,,,,,,,,,,,,,,,,"4.8","86.6","2432","2.1","-27.8","9","15.9","86.5","1842","-14.5","-28.3","16.9",,,,,,
"Yarbrough, Ryan","642232","2021",".325",".322","0.3","84.3","1999","8.9","-32","11.1",,,,,,,"28","78.4","2027","17.4","-38.4","18.7","18","71.1","2270","-15.5","-49.3","16.6","13.5","86.4","1841","14.2","-25.4","18.4","40.1","81.9","2116","-2.1","-34.5","7.5",,,,,,,,,,,,
"Peralta, Freddy","642547","2021",".252",".253","51.7","93.4","2370","-7","-14.9","18.1","26.5","80.5","2264","14.3","-39.3","14.9","9.7","88","1621","-14.7","-31.2","15.5","10.8","76.8","2213","8.4","-52","10.3","1.3","92.4","2302","-13.8","-18.9","19.2",,,,,,,,,,,,,,,,,,
"Alcantara, Sandy","645261","2021",".279",".288","21.6","98.1","2239","-10.6","-14.8","17.5","24.1","90.4","2359","-1.3","-30.1","4.7","23.5","91.8","2005","-16.1","-29.2","16.5","2.6","83.7","2396","3.8","-42.9","5.8","28.2","97.6","2324","-17.3","-21.5","18.9",,,,,,,,,,,,,,,,,,
"Cease, Dylan","656302","2021",".295",".295","46.8","96.7","2543","-4.4","-10.5","19.4","30.6","85.9","2880","6.9","-38.1","7.6","7.4","78.1","1641","-7.3","-29.2","17.4","15.2","79.9","2754","5.3","-61.7","19.2",,,,,,,,,,,,,,,,,,,,,,,,
"Montgomery, Jordan","656756","2021",".299",".310","16.2","92.6","2284","7.4","-15.3","18.3",,,,,,,"24.4","82.5","1704","9.7","-25.5","17.8","23.7","80","2246","-0.9","-46.7","4.4","21.9","92.4","2172","15.5","-19.8","19.9","13.8","87.3","2361","-0.3","-27.1","9.1",,,,,,,,,,,,
"Webb, Logan","657277","2021",".274",".276","9.8","93.2","2133","-8.5","-20.4","14","27.7","82.4","2688","10.8","-41.9","11.2","23.6","86.2","1475","-8.9","-41.6","10.5",,,,,,,"37.8","92.8","1901","-15.2","-31.7","15.5","1.1","91.2","2277","-1.3","-26","7",,,,,,,,,,,,
"Ohtani, Shohei","660271","2021",".279",".282","44","95.6","2218","-3.8","-14.6","16","0.3","80.6","2273","7.6","-44.8","9.7",,,,,,,"3.4","74.5","2370","12.1","-63.9","18.3",,,,,,,"12.3","87","2262","3.4","-32.1","6","18.1","88.1","1360","-5","-32.9","6.3","21.9","82.3","2350","15.8","-37.5","16.5"
"Bubic, Kris","663460","2021",".337",".349","52","90.9","2073","6.2","-17.7","16.8",,,,,,,"30.8","80","1604","12.6","-35","15","17.2","78.5","2619","-8.3","-59.5","17.1",,,,,,,,,,,,,,,,,,,,,,,,
"Allard, Kolby","663465","2021",".331",".343","46.9","91.5","2121","7.9","-15.7","18.8",,,,,,,"16.8","83.6","1606","14.1","-29.2","17.5","11.1","75.9","1896","-4.5","-56.6","10.4","0.4","92.5","2199","13.3","-15.7","21.2","24.8","86.3","2197","-2.4","-30.6","6.9",,,,,,,,,,,,
"Mize, Casey","663554","2021",".308",".338","29.3","93.9","2151","-9.2","-15.4","18.4","28.1","85.9","2239","3.8","-34.9","5.1",,,,,,,"6.7","81.3","2197","9.7","-51.5","14","22.7","93.2","2062","-16.4","-22.3","19",,,,,,,"13.2","85.8","1103","-12.1","-36.8","12.5",,,,,,
"McClanahan, Shane","663556","2021",".304",".327","40.9","96.4","2256","10.5","-13.3","19.5","34.7","89.1","2400","-3.8","-32.3","5.2","8","89.2","1725","15.6","-23.4","19.3","16.3","82.5","2653","-6","-51","12.5",,,,,,,,,,,,,,,,,,,,,,,,
"Singer, Brady","663903","2021",".338",".326","0.3","92.7","2264","-4.7","-15.2","17.3","38.2","85.4","2393","3.8","-36.6","4.7","3.8","88","2015","-14.8","-22.7","19.5",,,,,,,"57.7","93.7","2271","-13.2","-17.7","18.9",,,,,,,,,,,,,,,,,,
"Brubaker, JT","664141","2021",".340",".329","24.5","92.9","2178","-8.7","-15.8","18.2","34.2","87.2","2648","1.3","-32.9","3.8","6.3","87.2","1885","-15.6","-28.2","17.6","10.4","79.5","2801","6.4","-51.9","11","24.6","93.4","2266","-15.7","-20.5","19.2",,,,,,,,,,,,,,,,,,
"Valdez, Framber","664285","2021",".288",".301","5","92.1","2183","5","-22","11.5",,,,,,,"12.1","87.5","1498","13","-34.4","13.4","30.8","77.9","2873","-13.5","-61","20.5","52.1","92.5","2171","13","-27.2","14.1",,,,,,,,,,,,,,,,,,
"Anderson, Ian","666120","2021",".293",".317","47.1","94.6","2045","-5.4","-13.2","18.4",,,,,,,"31.4","88.1","1646","-10.1","-23.1","15.9","21.1","80.7","1895","1","-48.4","6.7","0.3","94.1","2081","-11.9","-14.2","20.7",,,,,,,,,,,,,,,,,,
"Plesac, Zach","668676","2021",".314",".325","41.7","92.8","2047","-8.7","-14.7","19.2","23.1","86.7","2033","0.1","-27.5","8.9","24.3","85.7","1599","-12.3","-26.7","16.3","10.9","80.2","1884","1.7","-48.7","7.1",,,,,,,,,,,,,,,,,,,,,,,,
"Gallen, Zac","668678","2021",".313",".306","53.6","93.4","2325","-3.4","-14.1","17.8","8.4","86.1","2467","7.7","-37","8.3","16.7","86.1","1476","-12.7","-33.4","13.4","12.5","79.7","2437","8.3","-55.1","14.5","0.4","93.3","2328","-9.8","-13.5","20.7","8.4","90.3","2247","3.3","-22.9","11.6",,,,,,,,,,,,
"Burnes, Corbin","669203","2021",".232",".219","1.6","96.4","2607","-5.7","-15.4","15.1","9.2","88","2861","7.6","-35.3","8.2","9.6","90.7","1873","-13.9","-25.9","16.1","18.3","81.2","2867","11.3","-49.3","14","9.1","96.9","2556","-11.9","-17.1","17.1","52.2","95.2","2767","4.2","-18.7","12.2",,,,,,,,,,,,
"Gilbert, Logan","669302","2021",".305",".310","61.5","95.3","2200","-5.4","-12.1","19","23.6","83.4","2276","6.5","-35","8.6","7.7","79.9","1555","-14.2","-37.8","15.3","7.2","75","2117","5.1","-56.7","10",,,,,,,,,,,,,,,,,,,,,,,,
"Skubal, Tarik","669373","2021",".332",".357","42.8","94.3","2192","8.3","-14.8","18.3","22.8","86.5","2060","-1.8","-32.6","4.9","12.1","82.1","1441","8.7","-28.5","15.4","6.8","73.8","2222","-7.9","-63.9","15.6","12.9","94.5","2021","15.1","-19.1","19.1","0.3","94.2","2210","2.2","-13.6","17.7","2.3","85.1","1380","9.9","-28.2","14.4",,,,,,
"Rogers, Trevor","669432","2021",".270",".284","57.7","94.5","2375","11.1","-16","18.6","14.8","81.8","2115","-1.7","-37.5","4.9","27.4","84.8","1323","13.4","-36.6","13.8",,,,,,,"0","94.9","2647","17.3","-15","23.2",,,,,,,,,,,,,,,,,,
"Garcia, Luis","677651","2021",".297",".304","44.7","93.3","2354","-5","-13","19.3","12.5","79.9","2374","15.8","-45.8","16.3","11","83.4","1909","-16.1","-29.6","19","9.4","75.9","2264","5.9","-59.2","13.2",,,,,,,"22.4","86.1","2378","5.7","-31.5","8.4",,,,,,,,,,,,
"Wainwright, Adam","425794","2022",".306",".328","9.4","88","2233","-1.4","-20.2","15.4","0.1","75.3","2682","18.6","-54.2","19.3","6","82.2","1764","-14.3","-32.4","16.6","31.7","72.8","2768","16.1","-67.5","22","27.8","88.6","2201","-13","-22.7","17.9","25","84.3","2411","6.3","-32.1","9.3",,,,,,,,,,,,
"Greinke, Zack","425844","2022",".321",".336","38.3","89.2","2286","-2.1","-18.4","16.3","7.4","81.8","2448","8.4","-34.7","11.4","16.5","86.5","1644","-12.8","-32.6","13.6","20.3","72","2433","12.5","-64.4","16.9","2.2","89.4","2193","-11.7","-24.2","15.4","15.3","85.8","2371","6.6","-30.8","9.4",,,,,,,,,,,,
"Verlander, Justin","434378","2022",".222",".255","50.4","95","2423","-9.5","-11.4","21.5","28.3","87.4","2464","4","-31","6.7","2.4","86.2","1756","-15.7","-26.5","19","18.8","79","2644","6.9","-55.3","13.4",,,,,,,,,,,,,,,,,,,,,,,,
"Kluber, Corey","446372","2022",".316",".310","1.5","88.9","2271","-6.3","-20.2","16",,,,,,,"10.3","82.9","1652","-13.5","-33.7","15.5","27.3","80.7","2526","16.5","-41","16.9","26.8","88.9","2075","-16.3","-26.1","18.7","34.2","86.3","2463","2.9","-28.1","9.3",,,,,,,,,,,,
"Hill, Rich","448179","2022",".325",".313","35.6","88.5","2252","8.2","-16.4","20.5",,,,,,,"4.2","82.8","1882","15.6","-33.2","17.8","36.5","71.8","2629","-17.8","-67.7","22.4","0.2","87.3","2229","17.6","-23.4","22","12.9","84.2","2273","-1.9","-29.6","9.6",,,,,,,"10.6","69.2","2531","-22.7","-56.5","22.9"
"Morton, Charlie","450203","2022",".320",".314","33.7","94.9","2373","-10.6","-17.9","16.6",,,,,,,"8.5","87.2","2154","-17.6","-34.5","17.8","38","81.3","3068","15.5","-51.1","18.3","10.5","94.7","2190","-17","-25.6","17.8","9.3","88.4","2551","1.8","-29.7","5.9",,,,,,,,,,,,
"Scherzer, Max","453286","2022",".254",".265","45.4","94","2387","-11.1","-15","19.7","23.4","85","2303","3.2","-34.7","5.2","12.6","84.1","1399","-14.9","-34.9","15.6","9.2","75","2764","16.6","-58.4","19.1",,,,,,,"9.4","89.2","2391","0.3","-25.9","8.7",,,,,,,,,,,,
"Cueto, Johnny","456501","2022",".310",".311","19.8","91.4","2188","-12.2","-17.8","19.5","16.4","83.5","2235","2.7","-33.7","6.9","20.1","82.6","1325","-12.2","-36","13.1","0.6","69.9","2095","3.5","-57","4.4","23.2","91.4","2111","-16.8","-23.6","19.3","19.8","86.9","2178","-3.3","-26.1","10.9",,,,,,,,,,,,
"Lynn, Lance","458681","2022",".304",".296","45.9","92.9","2443","-3.7","-18.3","14","2.5","86","2548","5.1","-35.5","6.1","3.8","85.8","1872","-11.8","-31.3","13.6","8.6","82","2497","10.5","-42.2","11.2","13.2","91.4","2307","-11","-25.9","13.2","26.1","88.8","2607","2.3","-29.4","6.2",,,,,,,,,,,,
"Carrasco, Carlos","471911","2022",".327",".313","35.5","93.2","2282","-7.6","-17.5","16.1","24.5","84.8","2456","2.3","-35.7","4.1","24.6","87.4","1311","-8.2","-34.6","8.7","4.1","81.1","2654","7.6","-46.7","9.6","11.4","91.9","2161","-16.3","-25","18.1",,,,,,,,,,,,,,,,,,
"Quintana, Jose","500779","2022",".286",".305","36","91.2","2077","2.4","-17.7","15.5",,,,,,,"19.5","86.4","1319","11.7","-30.8","13.6","22","78.3","2263","-7.1","-52.7","11","16.4","91.4","2070","12.6","-19.7","18.2",,,,,,,,,,,,,,,,,,
"Gibson, Kyle","502043","2022",".331",".326","11.9","92","2279","-6.2","-16.4","17.2","17.7","83.4","2518","4.6","-40.7","5.3","10.8","84.7","1622","-14.8","-34.6","15.3","6.7","79.1","2467","7.3","-52.5","11.5","28.1","91.7","2133","-14.5","-25.4","16.3","21.5","89.4","2360","0.8","-24.8","9.8",,,,,,,"3.3","82.9","2458","7.8","-37.2","9.1"
"Cobb, Alex","502171","2022",".296",".277","0.2","95.3","2214","-8.6","-14.3","17.9","0","85.1","2531","4","-45.1","8.5",,,,,,,"15.3","83.8","2610","5.9","-52","14.4","41.9","94.8","2091","-15.8","-21.4","18.3",,,,,,,"42.5","89.6","1578","-13","-32.2","13.5",,,,,,
"Darvish, Yu","506433","2022",".259",".291","25.5","95","2416","-7.2","-13.5","18.6","31.5","86","2778","5.7","-37.1","6.3",,,,,,,"7.3","76.1","2704","10.6","-61.1","16.9","8.5","94.7","2274","-14.2","-19","18.5","4.3","90.7","2577","2.1","-22.7","10.9","7.4","89.2","1302","-6.2","-29.4","8.8","15.4","82.7","2726","16.2","-40.3","16.5"
"Bumgarner, Madison","518516","2022",".357",".358","32","91.2","2209","7.8","-17.7","17.4","0.2","83.3","2205","-5.8","-39.7","6.2","11.3","85.5","1480","13","-29.6","15.5","18.7","78.6","2304","-9.2","-47.1","9.8","1.5","90.8","2067","12.8","-21.1","17.8","36.3","87.4","2295","-2.9","-27.7","8.9",,,,,,,,,,,,
"Kelly, Merrill","518876","2022",".289",".296","30.8","92.6","2360","-7.9","-16.7","17.3","0.2","85","2416","1.8","-34.5","4.1","21.3","88.6","2158","-16.6","-32.3","16.9","13.5","82.2","2550","9.1","-50.9","13.8","17.5","92.5","2206","-16.1","-24.7","17.9","16.7","90.8","2332","-1.5","-20.3","13",,,,,,,,,,,,
"Pérez, Martín","527048","2022",".289",".295","8","92.7","2055","10.9","-17.4","18.3","1.4","84.5","2398","-3.5","-32.7","7.3","27.6","84.4","1661","14.2","-29.6","16.9","3.5","78.8","2515","-6.3","-49","8.3","35.2","92.6","1997","16.4","-21.8","19.4","24.3","89.9","2214","1.1","-21.6","12.5",,,,,,,,,,,,
"Anderson, Tyler","542881","2022",".271",".275","38","90.7","2231","7.5","-15.3","19.6",,,,,,,"31.6","79","1848","13.3","-34.8","16.2","1.2","73.2","2141","-2","-59.2","8.7","7.1","89","2227","17.2","-28","18.8","22","85.7","2421","-2.5","-27.2","10.3",,,,,,,,,,,,
"Cole, Gerrit","543037","2022",".283",".284","51.9","97.8","2428","-10.4","-10.5","21.1","22.6","88.7","2569","5","-34.2","5.6","8.4","89.7","1616","-14","-24.7","17.1","10.8","83","2779","10.2","-53","16.6",,,,,,,"6.4","92","2485","0.5","-24.4","8.5",,,,,,,,,,,,
"Lyles, Jordan","543475","2022",".341",".340","31.8","91.8","2204","-5.9","-15.5","18.1",,,,,,,"10.7","86.3","1464","-13.7","-29.1","15.9","13.4","79.1","2433","7.6","-58.7","16.5","17.6","90.8","2095","-13.4","-20.8","18.4","2.6","84.9","2438","4.8","-34.6","6.4",,,,,,,"24","80","2638","16.8","-44.2","17.1"
"Stripling, Ross","548389","2022",".268",".293","33.7","91.9","2124","-5.2","-13.7","19.7","21.9","87.1","2301","4.5","-29.6","8.1","27.2","82.6","1680","-10.9","-29.7","15.3","9.6","76.1","2377","7.2","-59","13.7","7.5","89.9","2004","-12.1","-19.4","19",,,,,,,,,,,,,,,,,,
"Wheeler, Zack","554430","2022",".275",".275","42.3","95.9","2392","-9.2","-13.6","18.8",,,,,,,"1.8","89.5","1557","-14.5","-24.8","17.4","11.9","81.3","2654","9.2","-51.7","13.9","17.1","95.4","2217","-16.1","-18.7","19.9","26.9","90.6","2459","2.3","-26.8","7.6",,,,,,,,,,,,
"Corbin, Patrick","571578","2022",".383",".381","16.9","92.1","2130","7.9","-17.5","16.9","29.4","81.7","2184","-2.9","-39.6","3.8","8.3","82.4","1629","12.7","-30.4","16.3","0","74.2","1944","-2.5","-51.4","2.9","45.4","92.8","2068","14.2","-19.9","18.7",,,,,,,,,,,,,,,,,,
"Mikolas, Miles","571945","2022",".279",".306","27.3","93.5","2292","-4.9","-16.3","15.9","25.4","87.7","2381","3.9","-31.1","6.2","4","82.7","1575","-12","-31","15.5","21.1","76","2547","8.7","-63.3","17.7","22.2","93","2232","-13.3","-19.5","18.4",,,,,,,,,,,,,,,,,,
"Stroman, Marcus","573186","2022",".291",".308","8.5","92.6","2425","-4.6","-18.1","14.7","5.1","86.4","2692","4.9","-40.5","6.7",,,,,,,,,,,,,"40.2","92","2265","-9","-29","9.9","10.5","90","2532","2","-28.6","5.7","12","87","1715","-12","-34.4","12.4",,,,,,
"Gausman, Kevin","592332","2022",".304",".285","48.8","95","2265","-10.5","-13.1","20.5","14.4","84.4","2206","1.2","-35.1","4","1.3","84.5","1497","-7.3","-30.8","11.1",,,,,,,,,,,,,,,,,,,"35.5","85.2","1569","-15","-33","16.2",,,,,,
"Gray, Jon","592351","2022",".292",".295","50.5","95.9","2015","-11.4","-17.2","17.3","0.5","85.8","2212","-2.1","-28.7","9.1","9.3","88.7","1455","-14.2","-26","17","4.1","77.8","2597","14.5","-56","18",,,,,,,,,,,,,,,,,,,"35.5","84.9","2471","10.2","-32.6","12.2"
"Ray, Robbie","592662","2022",".315",".295","39.3","93.4","2282","6.7","-13.4","19.4","37.2","87.2","2190","-1.5","-28.3","8.1","0.7","86.9","1759","10.5","-23.1","17.2","1.9","79.7","2106","-2.5","-43.7","3.7","20.9","93.3","2191","15.4","-18.7","20",,,,,,,,,,,,,,,,,,
"Syndergaard, Noah","592789","2022",".312",".325","14.7","94.1","2136","-5.7","-16.7","15.5","17.4","85.2","2151","5.5","-36.6","6.4","19.7","88.5","1534","-15.2","-26.8","17.5","14.3","77.8","2136","10.3","-45.5","11","32.2","93.6","2125","-14.1","-20.8","17.8","1.6","85.8","2161","5.8","-35.4","7.8","0","88.7","1438","-10","-24.2","14.6",,,,,,
"Taillon, Jameson","592791","2022",".308",".317","35.6","94.1","2370","-5.7","-13.2","18.8","18.7","86.1","2556","6.2","-32.5","7.9","8.4","87.8","1846","-14.1","-24.6","17.9","14.8","81.1","2734","9.2","-51.9","13.9","11","94.2","2297","-13.6","-16.3","20.1","11.3","90.7","2531","2.8","-20.6","13.2",,,,,,,"0.1","84.1","2640","10.1","-37.8","10.4"
"Walker, Taijuan","592836","2022",".293",".308","29.8","93.7","2148","-10.1","-14","20.2","16","84.9","2403","5.3","-32.5","8.4",,,,,,,"8.7","75","2226","7","-60.5","13.6","11","92.9","2023","-15.2","-18.9","20.1","6.8","88.4","2330","1.6","-23.3","12.1","27.6","88.8","1447","-10.8","-32.6","11.3","0.1","83.2","2497","7","-39.2","7.3"
"Montas, Frankie","593423","2022",".309",".310","28.4","96.1","2357","-6.3","-12.8","18.1","15.6","87.2","2410","6.2","-32.8","7.3",,,,,,,,,,,,,"22.2","95.6","2242","-15.5","-18.5","19.4","8.3","89.5","2396","4","-27.8","7.9","25.5","86.4","1467","-12.1","-33.4","12.8",,,,,,
"Gonzales, Marco","594835","2022",".337",".330","36.6","88.5","1986","12.2","-20.3","19.3",,,,,,,"30.5","79.4","2114","17.3","-36.7","18.8","13.4","76.6","2114","-6.3","-59.8","14.6",,,,,,,"19.5","86.1","2030","2.2","-25.2","11.8",,,,,,,,,,,,
"Gomber, Austin","596295","2022",".347",".330","40.6","91","2156","6.3","-15.6","18.5","24.6","84.3","2391","-5","-34.7","6.4","17.6","82","1644","9.8","-29.8","14.5","17.1","75.8","2497","-7","-61.6","15.7","0.1","91.5","2052","11.2","-18.6","17.9",,,,,,,,,,,,,,,,,,
"Pivetta, Nick","601713","2022",".330",".332","51","93.4","2310","-5.1","-10.9","21.3","2.8","83","2476","6.9","-42","7.8","0","91.9","2329","-16.9","-8.9","30.1","27","77.2","2710","7.9","-65.3","20.2",,,,,,,"16.9","86.2","2294","5.5","-32.3","8","2.2","87","1152","-8.1","-27.7","12",,,,,,
"Bassitt, Chris","605135","2022",".291",".290","13.1","93.2","2191","-5.5","-17.8","14.9","8","82.7","2345","6.9","-38.8","7.6","6.1","85.4","1824","-16.2","-30.9","17.9","13.9","71.6","2330","14.9","-68","20.4","33.5","92.8","2118","-16.1","-22.5","18.8","17.3","89","2262","2.5","-25.6","9.4",,,,,,,"8.2","75.2","2318","18.8","-48.5","19.1"
"Bundy, Dylan","605164","2022",".329",".321","39.7","89","2352","-4.5","-15.3","20","24","79.1","2404","5.3","-44.4","6.2","18.7","81.1","1361","-12.2","-35.3","13.9","10.6","72.2","2148","8.2","-63.4","13.8","7","89.7","2194","-12.1","-17","21.1",,,,,,,,,,,,,,,,,,
"Davies, Zach","605200","2022",".315",".329","4.7","89.9","2114","-13.9","-20","19.8","0.8","75.9","2498","15.6","-52.7","16.5","33.3","79.7","1672","-14","-34.6","16.6","6","74.8","2580","10.9","-62","16.8","49.6","89.5","2082","-14.9","-21.8","19.6","5.6","87.6","2145","-4.7","-22.5","14.2",,,,,,,"0","78.1","2604","18.8","-47.6","19"
"Musgrove, Joe","605397","2022",".292",".282","24","92.9","2559","-4.2","-18.3","14.2","24.6","82.9","2714","12.7","-41.9","13.2","6.3","86.5","1972","-11.4","-32.8","12.3","18.9","81.3","2723","9.6","-55.5","16.9","6.8","92.4","2436","-12.4","-22.9","15.7","19.5","90.1","2581","1.5","-24.5","9.4",,,,,,,,,,,,
"Nola, Aaron","605400","2022",".264",".259","33.4","92.8","2308","-13.1","-16.6","20.3",,,,,,,"14.7","85.9","1482","-15.2","-33.8","15.9","26.5","78.6","2589","14.4","-55.7","18.1","18.8","92.2","2199","-17","-22.6","19.7","6.5","86.8","2212","0.9","-29.1","7.5",,,,,,,,,,,,
"Snell, Blake","605483","2022",".282",".279","55.5","95.8","2434","5.2","-11.2","19.6","24.3","88.9","2389","-4.1","-29.9","6.8","5","87.1","1899","13.7","-26.1","17.1","15.1","81.4","2297","-12.2","-51","15.6",,,,,,,,,,,,,,,,,,,,,,,,
"Springs, Jeffrey","605488","2022",".272",".282","40.4","91.4","2254","11.4","-15.3","21.2","24.8","85.4","2188","-4.5","-32.4","7.5","34.7","81.1","1415","13.7","-34.1","15.8",,,,,,,"0.1","90.1","2316","18.5","-20","23.6",,,,,,,,,,,,,,,,,,
"Thompson, Zach","605507","2022",".346",".346","16.2","92.3","2386","-2","-18.1","14.2",,,,,,,"8.5","85.7","1864","-12.1","-31.6","13.7","20.9","76.6","2244","5","-56.5","11.4","21.1","92.2","2231","-9.7","-24.1","12.8","33.3","86.8","2580","3.4","-32.1","5.6",,,,,,,,,,,,
"Woodruff, Brandon","605540","2022",".282",".277","38.5","96.3","2350","-6","-12.1","18.6","11.3","88","2408","3.8","-32","5.6","16.3","86.1","2008","-15.8","-28","18.3","12.6","84","2497","2.5","-46","8.1","21.4","95.8","2286","-14","-15.9","19.8",,,,,,,,,,,,,,,,,,
"Rodón, Carlos","607074","2022",".255",".254","61.2","95.5","2349","6","-12","19.1","31.1","85.4","2447","-8.1","-38.6","8.6","2","84.6","1757","13.7","-27.4","17.8","5.7","79.8","2454","-6.4","-55.5","14",,,,,,,,,,,,,,,,,,,,,,,,
"Fedde, Erick","607200","2022",".362",".356",,,,,,,,,,,,,"3.6","86","1516","-14.6","-34.7","15","28.8","78.4","2388","14.7","-46.9","15.2","39.9","92.6","1877","-8.8","-22.1","13.5","27.6","89.2","2123","1.7","-26.7","8.2",,,,,,,,,,,,
"Freeland, Kyle","607536","2022",".346",".347","23.7","90.2","2390","5.7","-20.2","14.5","22","85.4","2375","-1.4","-32.7","5.1","13.7","84.8","1479","10.9","-30.7","13.3","18.2","80.9","2446","-4.3","-48.5","8.4","22.4","89.6","2350","12.9","-27.5","14.7",,,,,,,,,,,,,,,,,,
"Fried, Max","608331","2022",".255",".264","32.5","94","2139","1.7","-18.5","12.7","18.4","87.3","2392","-3.8","-34.9","4.7","14.1","86.5","1413","12.9","-32.4","13.8","21.5","74.2","2748","-9.5","-66.8","19.1","13.3","93.6","2035","11","-21.6","14.8",,,,,,,,,,,,,"0.1","80","2646","-14","-47.8","14.3"
"Giolito, Lucas","608337","2022",".344",".318","47.7","92.6","2172","-5.4","-13.9","19","23.6","84.4","1959","3.5","-37.2","4.4","25.5","81","1448","-11.3","-30.5","16.2","3.2","79.2","2348","7.2","-56.3","14.6",,,,,,,,,,,,,,,,,,,,,,,,
"Irvin, Cole","608344","2022",".306",".324","37.5","90.7","1976","9.9","-17.2","19.1",,,,,,,"18.3","83","1553","13.3","-32.5","15.3","20.7","77.5","2074","-8.2","-49.6","10.2","21.5","90.3","1940","14.5","-21.7","18.9","2","87.1","2012","1.3","-28","8.6",,,,,,,,,,,,
"Wacha, Michael","608379","2022",".301",".329","33","93","2122","-6.7","-12.4","20.5",,,,,,,"29.8","84.3","1583","-12.5","-26.2","18","7.4","74.7","2173","10.3","-58.8","14.3","12.6","92.6","2052","-11.7","-15.3","20.4","17.2","88.8","2052","1.2","-23.4","11.5",,,,,,,,,,,,
